readcode	readterm
BBr3z00	[M]Plasma cell leukaemia NOS
BBr4.00	[M]Erythroleukaemias
BBr4000	[M]Erythroleukaemia
BBr4011	[M]Erythraemic myelosis
BBr4100	[M]Acute erythraemia
BBr4z00	[M]Erythroleukaemia NOS
BBr6.00	[M]Myeloid leukaemias
BBr6000	[M]Myeloid leukaemia NOS
BBr6011	[M]Granulocytic leukaemia NOS
BBr6012	[M]Myelosis NOS
BBr6100	[M]Acute myeloid leukaemia
BBr6200	[M]Subacute myeloid leukaemia
BBr6300	[M]Chronic myeloid leukaemia
BBr6311	[M]Naegeli-type monocytic leukaemia
BBr6600	[M]Acute promyelocytic leukaemia
BBr6700	[M]Acute myelomonocytic leukaemia
BBr6800	[M]Chronic myelomonocytic leukaemia
BBr6900	[M]Juvenile myelomonocytic leukaemia
BBr6z00	[M]Other myeloid leukaemia NOS
BBr7000	[M]Basophilic leukaemia
BBr8.00	[M]Eosinophilic leukaemias
BBr8000	[M]Eosinophilic leukaemia
BBr8z00	[M]Eosinophilic leukaemia NOS
BBr9000	[M]Monocytic leukaemia NOS
BBr9012	[M]Schilling-type monocytic leukaemia
BBr9300	[M]Chronic monocytic leukaemia
BBr9400	[M]Aleukaemic monocytic leukaemia
BBrA.00	[M]Miscellaneous leukaemias
BBrA100	[M]Megakaryocytic leukaemia
BBrA111	[M]Thrombocytic leukaemia
BBrA300	[M]Myeloid sarcoma
BBrA311	[M]Chloroma
BBrA312	[M]Granulocytic sarcoma
BBrA400	[M]Hairy cell leukaemia
BBrA500	[M]Acute megakaryoblastic leukaemia
BBrA600	[M]Acute panmyelosis
BBrA700	[M]Acute myelofibrosis
BBrAz00	[M]Miscellaneous leukaemia NOS
BBrz.00	[M]Leukaemia NOS
BBs1.00	[M]Acute panmyelosis
BBv0.00	[M]Monocytoid B-cell lymphoma
BBv2.00	[M]AngiocentricT-cell lymphoma
BBz0.00	[M]Neuroendocrine neoplasm
Byu0.00	[X]Malignant neoplasm of lip, oral cavity and pharynx
Byu1.00	[X]Malignant neoplasm of digestive organs
Byu1000	[X]Other sarcomas of the liver
Byu1100	[X]Other specified carcinomas of liver
Byu1200	[X]Malignant neoplasm of intestinal tract, part unspecified
Byu1300	[X]Malignant neoplsm/ill-defin sites within digestive system
Byu2.00	[X]Malignant neoplasm of respiratory and intrathoracic orga
Byu2000	[X]Malignant neoplasm of bronchus or lung, unspecified
Byu2100	[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura
Byu2200	[X]Malignant neoplasm/upper resp tract, part unspecified
Byu2300	[X]Malignant neopl/overlapping les/resp+intrathoracic organs
Byu2400	[X]Malignant neoplasm/ill-defined sites within resp system
Byu2500	[X]Malignant neoplasm of mediastinum, part unspecified
Byu3.00	[X]Malignant neoplasm of bone and articular cartilage
Byu3100	[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd
Byu3200	[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage
Byu3300	[X]Malignant neoplasm/bone+articular cartilage, unspecified
Byu4000	[X]Malignant melanoma of other+unspecified parts of face
Byu4100	[X]Malignant melanoma of skin, unspecified
Byu5.00	[X]Malignant neoplasm of mesothelial and soft tissue
Byu5000	[X]Mesothelioma of other sites
Byu5011	[X]Mesothelioma of lung
Byu5100	[X]Mesothelioma, unspecified
Byu5300	[X]Kaposi's sarcoma, unspecified
Byu5400	[X]Malignant neoplasm/peripheral nerves of trunk,unspecified
Byu5500	[X]Mal neoplasm/overlap les/periph nerv+autonomic nerv systm
Byu5700	[X]Malignant neoplasm of peritoneum, unspecified
Byu5800	[X]Mal neoplasm/connective+soft tissue of trunk,unspecified
Byu5900	[X]Malignant neoplasm/connective + soft tissue,unspecified
Byu5B00	[X]Kaposi's sarcoma of other sites
Byu6.00	[X]Malignant neoplasm of breast
Byu7.00	[X]Malignant neoplasm of female genital organs
Byu7000	[X]Malignant neoplasm of uterine adnexa, unspecified
Byu7100	[X]Malignant neoplasm/other specified female genital organs
Byu7200	[X]Malignant neoplasm/overlapping lesion/feml genital organs
Byu7300	[X]Malignant neoplasm of female genital organ, unspecified
Byu8.00	[X]Malignant neoplasm of male genital organs
Byu8000	[X]Malignant neoplasm/other specified male genital organs
Byu8200	[X]Malignant neoplasm of male genital organ, unspecified
Byu9.00	[X]Malignant neoplasm of urinary tract
Byu9000	[X]Malignant neoplasm of urinary organ, unspecified
ByuA.00	[X]Malignant neoplasm of eye, brain and other parts of cent
ByuA000	[X]Malignant neoplasm/other and unspecified cranial nerves
ByuA100	[X]Malignant neoplasm/central nervous system, unspecified
ByuA200	[X]Malignant neoplasm of meninges, unspecified
ByuA300	[X]Malig neopl, overlap lesion brain & other part of CNS
ByuB.00	[X]Malignant neoplasm of thyroid and other endocrine glands
ByuB100	[X]Malignant neoplasm of endocrine gland, unspecified
ByuC.00	[X]Malignant neoplasm of ill-defined, secondary and unspeci
ByuC000	[X]Malignant neoplasm of other specified sites
ByuC100	[X]Malignant neoplasm/overlap lesion/other+ill-defined sites
ByuC800	[X]Malignant neoplasm without specification of site
ByuD.00	[X]Malignant neoplasms of lymphoid, haematopoietic and rela
ByuD000	[X]Other Hodgkin's disease
ByuD100	[X]Other types of follicular non-Hodgkin's lymphoma
ByuD200	[X]Other types of diffuse non-Hodgkin's lymphoma
ByuD300	[X]Other specified types of non-Hodgkin's lymphoma
ByuD400	[X]Other malignant immunoproliferative diseases
ByuD500	[X]Other lymphoid leukaemia
ByuD600	[X]Other myeloid leukaemia
ByuD700	[X]Other monocytic leukaemia
ByuD800	[X]Other specified leukaemias
ByuD900	[X]Other leukaemia of unspecified cell type
ByuDA00	[X]Oth spcf mal neoplsm/lymphoid,haematopoietic+rltd tissue
ByuDB00	[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf
ByuDC00	[X]Diffuse non-Hodgkin's lymphoma, unspecified
ByuDD00	[X]Oth and unspecif peripheral & cutaneous T-cell lymphomas
ByuDE00	[X]Unspecified B-cell non-Hodgkin's lymphoma
ByuDF00	[X]Non-Hodgkin's lymphoma, unspecified type
ByuDF11	[X]Non-Hodgkin's lymphoma NOS
ByuE.00	[X]Malignant neoplasms/independent (primary) multiple sites
ByuE000	[X]Malignant neoplasms/independent(primary)multiple sites
C333000	Waldenstrom's macroglobulinaemia
C333011	Waldenstrom macroglobulinaemia
C333100	Alpha heavy chain disease
C333200	Gamma heavy chain disease
C333300	Heavy chain disease
D212000	Anaemia in ovarian carcinoma
F373.00	Polyneuropathy in malignant disease
F381100	Myasthenic syndrome due to other malignancy
F396200	Myopathy due to malignant disease
K01w112	Wilms' tumour + nephrotic syndrome + pseudohermaphroditism
N330900	Osteoporosis in multiple myelomatosis
PB0..00	Meckel's diverticulum
PB0z.00	Meckel's diverticulum NOS
PH32111	Mast cell disease
PH32112	Mastocytosis
ZV67600	[V]Follow-up examination aft surgery for malignant neoplasm
ZV67900	[V]Follow-up exam aft combined treatment for malig neoplasm
ZV67A00	[V]Folow-up exam aft other treatment for malignant neoplasm
ZV67B00	[V]Folow-up exam aft unspec treatment for malignant neoplasm
ZVu0900	[X]Follow-up examinat after other treatment for malig neopl
ZVu0A00	[X]Follow-up examinat after unspec treatment for malig neop
ZVu6G00	[X]Personl hist/oth mal neop/lymphd,h'matopoietc+relat tissu
